Month,Year,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,
1,1978,105,114,106,80,142,96.2,75.7,
2,1978,106,109,108,89,139,95.4,77.2,
3,1978,100,107,91,76,140,93.2,69.5,
4,1978,104,112,99,71,148,98,71.1,
5,1978,105,111,99,79,147,98.2,73,
6,1978,107,102,97,71,146,98.4,68.1,
7,1978,108,111,105,69,146,98.7,72,
8,1978,101,112,82,70,145,96.1,67,
9,1978,109,109,96,71,140,96.9,69.8,
10,1978,96,104,103,77,138,91.2,71.7,
11,1978,106,106,74,67,135,94.1,62.8,
12,1978,95,96,61,53,123,85.2,53.8,
1,1979,101,99,72,58,139,93.3,58.4,
2,1979,98,98,75,71,138,92.2,62.2,
3,1979,96,99,57,53,138,91.2,53.7,
4,1979,85,90,63,55,134,85.9,53.3,
5,1979,91,95,58,62,136,88.7,54.9,
6,1979,92,91,54,55,134,88.2,51.4,
7,1979,90,92,39,40,130,85.7,44.2,
8,1979,95,98,46,48,131,88.2,49.3,
9,1979,90,98,60,51,133,87.1,53.6,
10,1979,83,96,48,49,126,81.6,49.5,
11,1979,86,97,52,54,120,80.9,52,
12,1979,83,101,50,50,110,75.8,51.5,
1,1980,96,106,58,47,127,87.1,54.1,
2,1980,85,99,55,60,134,85.5,54.9,
3,1980,76,92,38,41,116,75.3,44.3,
4,1980,73,94,32,45,94,65.8,44.4,
5,1980,79,100,31,44,77,61.7,45.3,
6,1980,78,101,43,63,93,67.4,53,
7,1980,90,105,45,58,104,76.1,53.4,
8,1980,93,111,63,60,109,79.4,59.6,
9,1980,91,117,83,69,121,82.7,67.9,
10,1980,90,108,84,83,123,83.4,69.6,
11,1980,83,118,94,93,112,76.4,76.9,
12,1980,77,100,64,73,103,70.9,60.4,
1,1981,80,109,78,81,116,76.7,67.9,
2,1981,80,106,64,73,109,74.4,62.1,
3,1981,86,104,68,72,101,73.5,62.1,
4,1981,79,111,83,78,121,78.1,68.8,
5,1981,95,118,92,81,111,80.4,73.6,
6,1981,89,113,91,78,104,76.1,71.2,
7,1981,99,114,81,70,118,84.9,67.1,
8,1981,100,117,92,72,123,87.1,70.8,
9,1981,94,113,80,80,109,79.5,69,
10,1981,95,110,68,67,117,82.8,62.2,
11,1981,85,110,54,56,99,72.1,56.3,
12,1981,94,110,54,61,101,75.9,56.8,
1,1982,92,115,66,70,124,83.5,62.9,
2,1982,91,112,56,65,111,78.6,58.7,
3,1982,89,106,44,60,106,75.9,53.1,
4,1982,87,111,62,70,99,72.3,61.1,
5,1982,94,113,62,72,102,76.1,62,
6,1982,92,116,58,65,99,74.3,60.1,
7,1982,90,113,53,63,110,77.5,57.6,
8,1982,89,110,64,69,97,72.5,60.9,
9,1982,89,116,76,74,98,72.9,66.9,
10,1982,95,119,79,83,106,78.1,70.4,
11,1982,85,121,77,86,105,73.8,71,
12,1982,90,117,74,80,111,78.1,67.9,
1,1983,91,115,76,69,111,78.4,65.2,
2,1983,89,117,87,81,117,79.9,71.2,
3,1983,92,126,113,85,115,80.5,80.9,
4,1983,108,131,120,99,131,92.7,86.9,
5,1983,101,137,139,100,139,93.1,93.4,
6,1983,110,128,134,97,141,96.9,89.2,
7,1983,111,126,136,104,143,96.5,90.5,
8,1983,106,124,130,100,140,95.1,88.2,
9,1983,109,125,125,95,140,96.4,85.8,
10,1983,104,124,124,98,140,94.3,86.1,
11,1983,111,127,129,98,138,96.1,87.9,
12,1983,123,125,140,102,134,99.3,91,
1,1984,117,129,154,108,155,104.9,97,
2,1984,119,130,139,106,151,103.9,93.2,
3,1984,122,135,146,113,153,106,97.7,
4,1984,116,125,136,107,152,103.5,91.4,
5,1984,121,129,131,105,164,109.8,90.6,
6,1984,126,124,131,106,145,104.4,89.8,
7,1984,117,124,133,113,152,103.9,91.9,
8,1984,125,129,137,111,153,107.5,93.7,
9,1984,125,131,142,116,154,107.8,96.4,
10,1984,118,127,134,107,150,103.6,91.6,
11,1984,121,129,132,107,144,102.4,91.5,
12,1984,118,125,131,98,143,100.6,87.9,
1,1985,119,124,135,104,153,104.9,90.3,
2,1985,115,120,131,96,158,105.1,86.5,
3,1985,112,123,133,96,156,103.7,87.3,
4,1985,116,127,128,95,161,106.6,87,
5,1985,116,120,121,97,152,103.7,84.2,
6,1985,115,127,133,106,157,104.9,91.1,
